,mean,std
close,0.002091281464061179,2.5294504920015885e-05
volume,0.0014582076357010053,2.6955361880615265e-05
ADX5,0.0013242399885479296,1.6704171969619942e-05
ADX30,0.0010973730217532604,1.3212590870340145e-05
ADX60,0.0014980760844565488,
ADX480,0.001044742243382007,1.998766662086572e-05
ADX960,0.0019169921698058865,2.4410386463142804e-05
ADX2400,0.0018120244883027342,4.019457167934153e-05
ADX4800,0.0018440046344120917,
ADXR5,0.0009554065021748436,2.175132578981931e-05
ADXR30,0.0007812890159393879,
ADXR60,,
ADXR480,0.0013343373690769293,2.401169062708857e-05
ADXR960,0.0021088639181837685,2.3253893246569182e-05
ADXR2400,0.0015987528419243431,2.2427684005236627e-05
AROONOSC5,0.022552512847870836,0.00042675429886860944
AROONOSC30,0.007919569640723746,0.00041770678122068027
AROONOSC60,0.0015786429428710353,2.055415770784073e-05
AROONOSC480,0.001309578507127445,2.2662185448423915e-05
AROONOSC960,0.001215608116147065,1.7603616534479374e-05
AROONOSC2400,0.0009652551336967182,1.2166024120990775e-05
AROONOSC4800,0.0009305886294058085,
AROONOSC9600,0.0010255328712911085,1.9595564130633776e-05
BOP5,0.0031084197328770297,0.00013173952576687667
BOP30,0.0026192039341283373,3.198678152477206e-05
BOP60,0.0028642460581575165,4.090876177491515e-05
BOP480,0.0028885792411391404,3.842244386739331e-05
BOP960,0.004341980438386603,0.00023084144303901194
BOP2400,0.003399440860487041,0.0001677972900807308
BOP4800,0.0030934607709668833,0.00014692987334354905
BOP9600,0.0037336303484140436,0.0002524851528751974
CMO5,0.017510453422148617,0.0005882626640244169
CMO30,0.008555783989654975,0.0005009797750333586
CMO60,0.007707511144095763,0.0004379945931860779
CMO480,0.0015276803912643634,1.5673709079691594e-05
CMO960,,
CMO2400,0.001486736414356808,2.1056519706501676e-05
CMO4800,0.0015351918836586746,2.1736223524153878e-05
CMO9600,0.0011983944867098605,1.3622082127800624e-05
DX5,0.0018471424182632539,5.337916023426846e-05
DX30,0.002427703717364605,4.575787062080846e-05
DX60,0.0021469824165365158,3.11728333115249e-05
DX480,0.0016324060524883263,
DX960,0.0010954737638145548,5.1752832151782005e-06
DX2400,0.0007112381324432846,
DX4800,,
DX9600,0.0008599688595483592,
MFI5,0.0009444541356991653,
MFI30,0.0028356108911469806,0.0001813013026367263
MFI60,0.0017511226484827325,2.251918167899039e-05
MFI480,0.0012885253292865184,1.9386591074876514e-05
MFI960,0.0011603426369011373,2.1720257617874247e-05
MFI2400,,
MFI4800,,
MFI9600,,
MINUS_DM5,0.003716265011348189,0.00016330889209705996
MINUS_DM30,0.0023890502887650815,4.0093365728883915e-05
MINUS_DM60,0.0019899726964113626,3.4359914743323136e-05
MINUS_DM480,0.001147159591433511,2.3211140173330566e-05
MINUS_DM960,0.002328192050108467,
MINUS_DM2400,,
MINUS_DM4800,,
MINUS_DM9600,0.0018998642991478606,2.0658328606082867e-05
MOM5,0.01712758845259669,0.0005843369562809796
MOM30,0.005872195245898831,0.0003789834270986377
MOM60,0.0023184037205324654,4.21693206086673e-05
MOM480,0.0013216173421995584,6.637347525348561e-06
MOM960,0.0013557721413604285,8.129667421303936e-06
MOM2400,0.0019954618275294473,3.476768544943934e-05
MOM4800,0.0017540980734381266,3.743505792110302e-05
MOM9600,0.0012758828732306444,2.4621359512385814e-05
ROC5,0.022184575486166244,0.0005022354390214636
ROC30,0.010286553621590377,0.0005350489012668707
ROC60,0.003672924734966781,0.00025536103060648865
ROC480,0.001032726805675102,1.6167378399594427e-05
ROC960,0.0011853209892721415,1.3309352006720399e-05
ROC2400,0.0019360500817472573,2.592525781287009e-05
ROC4800,0.0017794114395171916,3.0918736839168285e-05
ROC9600,0.0019302421279198793,4.0743265616057e-05
RSI5,0.016893922532671166,0.0005897704338726955
RSI30,0.010240709029167471,0.000509137477576244
RSI60,0.005884104595248992,0.00036272220927037127
RSI480,0.0015964376412423442,2.447375346933556e-05
RSI960,0.0008766734364018516,
RSI2400,0.001163458521136001,1.0097412454679287e-05
RSI4800,0.0015492323811803948,1.4111581463813924e-05
RSI9600,0.0015861449052192664,3.065959806169382e-05
TRIX5,0.019487735346590433,0.0005645814200337738
TRIX30,0.0014815660444454468,
TRIX60,0.001770698584704329,2.6089122045609872e-05
TRIX480,0.0011553591704156205,5.390437718701253e-06
TRIX960,0.0020811695214845967,2.726822419155688e-05
TRIX2400,0.001135975097237897,1.0013021777190974e-05
WILLR5,0.009150020986703915,0.00048729249940944805
WILLR30,0.006177581136765307,0.0003989242350208398
WILLR60,0.005301338049907755,0.0003377020268924364
WILLR480,0.0010980864029328167,3.077440468960825e-06
WILLR960,0.0019210030999998586,4.193544377486132e-06
WILLR2400,0.0015863888199341549,3.424035450412919e-05
WILLR4800,0.0018217498169890152,1.4977118599684853e-05
WILLR9600,0.0011729773415338775,1.8300858139859236e-05
ATR5,0.000891731615754133,2.155893061449762e-05
ATR30,0.0019945423929352613,5.1328732385944826e-05
ATR60,0.0017682669138346094,4.531094128566124e-05
ATR480,0.0016474987749486357,3.398016159755552e-05
ATR960,0.0019610557898359967,4.671842368996888e-05
ATR2400,0.0014604929075267522,
ATR4800,0.001193105816912296,
ATR9600,0.0014280443783778944,3.310301569798052e-05
NATR5,0.0008675022617978322,9.894437788000142e-06
NATR30,0.0011569726881721849,2.1338553445014536e-05
NATR60,0.0016916618371437776,2.380689613107783e-05
NATR480,0.001228769363010207,2.418761110458702e-05
NATR960,0.001385718150909589,2.3238584482562054e-05
NATR2400,0.001779236179890412,3.0041992604978093e-05
NATR4800,0.0016873198886637893,3.407916273580284e-05
NATR9600,0.001718749342271767,2.787045858121704e-05
BETA5,0.0021039662340838023,2.6991931768132255e-05
BETA30,0.0018311565988590316,3.2094330560799465e-05
BETA60,0.0015683092213402432,1.746182798336098e-05
BETA480,0.0020783858609215943,
BETA960,0.001385464391233177,2.1419384267715266e-05
BETA2400,0.0017140483129209018,2.307226615543369e-05
BETA4800,0.0016227312904169796,2.6791413185284874e-05
BETA9600,0.0015240692204559604,2.596139652112054e-05
CORREL5,0.0018058777953344884,3.748195185062778e-05
CORREL30,0.001896433418040475,3.1459923747594406e-05
CORREL60,0.0019889790111258954,1.3014912823665398e-05
CORREL480,0.0017629895745556211,3.146640172413456e-05
CORREL960,0.0016029118731873872,1.9738074591407723e-05
CORREL2400,0.0020009531123818553,3.8011946966550055e-05
CORREL4800,,
CORREL9600,0.0016086434089298987,2.2026049430534077e-05
LINEARREG_ANGLE5,0.017755202532987426,0.000581139003640151
LINEARREG_ANGLE30,0.00199779874104791,2.8152487186960666e-05
LINEARREG_ANGLE60,0.0017146002115581663,1.3077539450475479e-05
LINEARREG_ANGLE480,0.0018321371494659923,2.7406328483847387e-05
LINEARREG_ANGLE960,0.0012088380118570059,3.3955362102417057e-06
LINEARREG_ANGLE2400,0.0016393387966235965,3.924177099822118e-05
LINEARREG_ANGLE4800,0.0016749491581944604,3.126608107116479e-05
LINEARREG_ANGLE9600,0.0011750124379053869,2.96701671766819e-05
LINEARREG_SLOPE5,0.015934418487055162,0.0005918235153536326
LINEARREG_SLOPE30,0.0021534039053209956,3.2303668223709166e-05
LINEARREG_SLOPE60,0.0029315066337149446,0.00016107267841463204
LINEARREG_SLOPE480,0.002048106992041273,3.021973663967647e-05
LINEARREG_SLOPE960,0.0018370019895917029,2.3949964849898816e-05
LINEARREG_SLOPE2400,0.0017060205117784444,3.538866723728459e-05
LINEARREG_SLOPE4800,0.0017291343845375787,3.5812403518483915e-05
LINEARREG_SLOPE9600,0.0010118161098008822,
AROON_5_aroondown,0.020590203432177854,0.00044446019637321666
AROON_5_aroonup,0.002715286156044698,1.524366380263159e-05
AROON_30_aroondown,0.023616939485101417,4.606840473988309e-05
AROON_30_aroonup,0.006423675258129393,0.0003841641114798556
AROON_60_aroondown,0.0018036643931514569,2.774525986756507e-05
AROON_60_aroonup,0.001385272756783423,2.357059492333634e-05
AROON_480_aroondown,0.0015362827693538139,3.10259672508945e-05
AROON_480_aroonup,0.0012813231219685926,6.38787338120831e-05
AROON_960_aroondown,0.0019397308329271229,2.3829683881696476e-05
AROON_960_aroonup,0.001901533579333926,
AROON_2400_aroondown,0.0015782943546569271,
AROON_2400_aroonup,0.0013303533258455414,1.7387557715351764e-05
AROON_4800_aroondown,0.001043097545634149,4.266748802284665e-06
AROON_4800_aroonup,0.0014426343561725803,3.2349106952333e-05
AROON_9600_aroondown,,
AROON_9600_aroonup,0.0008006245347116829,
STOCHRSI_5_fastk,0.028401721799236102,5.2675594558874606e-05
STOCHRSI_5_fastd,0.0010230333396467849,
STOCHRSI_30_fastk,0.027938662207511605,4.1533156570034915e-05
STOCHRSI_30_fastd,0.0016604045653607548,
STOCHRSI_60_fastk,0.022395599600363813,0.0005278402248723938
STOCHRSI_60_fastd,0.0020466716080975627,6.043661416171166e-05
STOCHRSI_480_fastk,0.02664636893587468,0.00029296905415650336
STOCHRSI_480_fastd,0.003921842179105304,7.119842702052359e-05
STOCHRSI_960_fastk,0.021249894026530672,0.0005014293023715262
STOCHRSI_960_fastd,,
STOCHRSI_2400_fastk,0.027184871629803906,0.00025476176097254024
STOCHRSI_2400_fastd,0.0013892750187245312,8.343774790368701e-06
STOCHRSI_4800_fastk,0.021829005719803486,0.0004783211196504074
STOCHRSI_4800_fastd,0.018712398211606394,0.0005415125854121592
STOCHRSI_9600_fastk,0.025319946214094207,0.0003423386320367312
STOCHRSI_9600_fastd,0.02543618562384142,0.00015648474234144567
AD,0.001454346672045981,2.1859426656566768e-05
OBV,0.0018827496825466218,3.142026453109218e-05
HT_DCPERIOD,0.0012850230310881546,
HT_DCPHASE,0.0021596597608293726,3.481117397522959e-05
HT_TRENDMODE,0.000845084926599772,
TRANGE,0.0022901215022227807,4.615526284766589e-05
ULTOSC,0.010573419335121136,0.0006755873189411712
SAREXT,0.004456923873397778,0.00030477364693951264
SAREXT_rand,0.00065298751227978,2.208427339210203e-06
APO,0.0019902457247258187,3.5287473483949005e-05
APO_1,0.0017003107610495914,2.4739785489368043e-05
APO_2,0.001592216729208345,
APO_3,0.0017877287433518251,4.080113663301493e-05
APO_4,0.0018218262633371504,2.9859073351932973e-05
ADOSC,0.00160831229912343,2.0968081349020358e-05
MACD,0.0035540106226110532,0.0002365103758170827
MACDSIGNAL,0.002020650210385318,3.0138243461007368e-05
MACDHIST,0.010983306860902198,0.0005510161055256819
MACD_24,0.0015153451633854338,1.7601254989266338e-05
MACDSIGNAL_24,0.0012883296566625036,2.586883942868053e-05
MACDHIST_24,0.004633601073338639,0.0003289646822815839
MACD_48,0.0013662238373941989,2.554388166762182e-05
MACDSIGNAL_48,0.001851123976190222,2.6300882886939866e-05
MACDHIST_48,0.002241958655293922,3.6380999645992835e-05
MACD_200,0.002003485849739804,2.3132655580610426e-05
MACDSIGNAL_200,0.0016154292336188192,2.076085190584233e-05
MACDHIST_200,0.0018540238031598702,2.4274791117130696e-05
inphase,0.0016126917084200792,1.3759865639204643e-05
quadrature,,
sine,0.0016650289928444996,4.502612479293484e-05
leadsine,0.0019270814232711319,2.7810424564495797e-05
fastd,0.0014383527894031801,
fastk_20,0.010468764915920253,0.0005441844766636865
fastd_20,0.0018535520150896629,2.4830408309777456e-05
fastk_200,0.0012318976894291566,1.7036537128487288e-05
fastd_200,0.0016294347827984646,4.11262990967108e-05
fastk_3600,0.0011075062090748354,2.047879703411104e-05
fastd_3600,0.0013109407380590213,2.5757189027153594e-05
slowk,,
slowd,0.0011165730545585316,
slowk_30,0.0017058237239797292,3.184145241007836e-05
slowd_30,0.002523725498788505,0.00011575060382267263
high_low,0.0023564915689789486,4.291150602842597e-05
close_open,0.0037793831373613674,0.00026873005414726204
close_ath,0.0017907515565924897,1.592657575544193e-05
momentum1,0.014055242660312722,0.0005854918389892479
momentum2,0.01846956993798233,0.0005759711837598246
momentum3,0.018800714401374142,0.0005685781013014923
momentum4,0.020266963396366536,0.0005471945376485079
volatility_60,0.0013834612012690243,6.04334666820345e-06
volatility_30,0.001372483820109971,2.815677613979919e-05
volatility_15,0.0016893604652053822,4.081191634948493e-06
volatility_10,0.001937832004756469,2.5472723794033588e-05
volatility_5,0.0016576225608243684,3.6996007044090486e-05
skew_60,0.002312664042269414,7.825523580170125e-05
skew_30,0.001465525567744567,2.324848780480048e-05
skew_15,0.0016029252984616571,2.8065038430494575e-05
skew_10,0.0011443465526142652,2.541722229987429e-05
skew_5,0.0015593361156321201,3.5587175688174976e-05
kurtosis_60,0.0010105561214773383,
kurtosis_30,0.001398057236301846,2.9807947002689016e-05
kurtosis_15,0.0017033732099696593,3.086556981362063e-05
kurtosis_10,0.0015888448590229177,2.5391968053353917e-05
kurtosis_5,0.0015638958057101501,3.642618914185185e-05
roll_measure,0.002187651383684398,2.6052262275048973e-05
corwin_schultz_est,0.0019286251444892825,
bekker_parkinson_vol,0.0022021076844422655,2.813234598559649e-05
kyle_lambda,0.000895781958932276,8.715084384209132e-06
amihud_lambda,,
hasbrouck_lambda,,
tick_rule,0.027740717197975617,0.00010613471147120698
chow_segment,,
